Order_ID,Order_Item_ID,Order_Amount,Order_Category,Order_Status
ORD000001,OI000001,626.43,Bakery,Completed
ORD000002,OI000002,1091.23,Beverages,Rejected
ORD000003,OI000003,2443.93,Dairy,Completed
ORD000004,OI000004,313.36,Frozen Foods,Completed
ORD000005,OI000005,1250.3,Baby Care,Cancelled
ORD000006,OI000006,2470.12,Snacks,Cancelled
ORD000007,OI000007,575.54,Dairy,Completed
ORD000008,OI000008,2288.12,Baby Care,Rejected
ORD000009,OI000009,1439.8,Groceries,Completed
ORD000010,OI000010,1979.75,Snacks,Completed
ORD000011,OI000011,825.94,Fruits & Vegetables,Completed
ORD000012,OI000012,1053.52,Bakery,Completed
ORD000013,OI000013,810.32,Frozen Foods,Completed
ORD000014,OI000014,2245.81,Frozen Foods,Completed
ORD000015,OI000015,215.62,Frozen Foods,Completed
ORD000016,OI000016,1168.16,Dairy,Completed
ORD000017,OI000017,1448.55,Frozen Foods,Completed
ORD000018,OI000018,972.92,Baby Care,Completed
ORD000019,OI000019,1766.78,Beverages,Cancelled
ORD000020,OI000020,2316.08,Fruits & Vegetables,Cancelled
ORD000021,OI000021,173.42,Baby Care,Rejected
ORD000022,OI000022,391.37,Fruits & Vegetables,Completed
ORD000023,OI000023,656.58,Snacks,Cancelled
ORD000024,OI000024,1642.95,Beverages,Completed
ORD000025,OI000025,666.24,Household,Rejected
ORD000026,OI000026,2420.48,Frozen Foods,Completed
ORD000027,OI000027,458.0,Fruits & Vegetables,Cancelled
ORD000028,OI000028,212.55,Bakery,Completed
ORD000029,OI000029,1229.08,Bakery,Rejected
ORD000030,OI000030,1738.19,Bakery,Completed
ORD000031,OI000031,2210.52,Beverages,Rejected
ORD000032,OI000032,1739.01,Fruits & Vegetables,Cancelled
ORD000033,OI000033,1348.69,Frozen Foods,Completed
ORD000034,OI000034,1220.81,Groceries,Completed
ORD000035,OI000035,717.76,Baby Care,Completed
ORD000036,OI000036,1319.27,Frozen Foods,Cancelled
ORD000037,OI000037,1478.73,Beverages,Completed
ORD000038,OI000038,1276.34,Baby Care,Completed
ORD000039,OI000039,597.23,Dairy,Cancelled
ORD000040,OI000040,1182.12,Baby Care,Rejected
ORD000041,OI000041,2355.83,Frozen Foods,Rejected
ORD000042,OI000042,848.21,Personal Care,Rejected
ORD000043,OI000043,155.21,Fruits & Vegetables,Completed
ORD000044,OI000044,697.83,Personal Care,Completed
ORD000045,OI000045,606.36,Fruits & Vegetables,Completed
ORD000046,OI000046,586.3,Personal Care,Completed
ORD000047,OI000047,1710.39,Beverages,Completed
ORD000048,OI000048,1881.39,Baby Care,Completed
ORD000049,OI000049,2150.93,Personal Care,Rejected
ORD000050,OI000050,302.44,Personal Care,Rejected
ORD000051,OI000051,507.9,Dairy,Rejected
ORD000052,OI000052,2442.19,Bakery,Completed
ORD000053,OI000053,105.75,Frozen Foods,Cancelled
ORD000054,OI000054,1198.4,Beverages,Completed
ORD000055,OI000055,221.02,Snacks,Completed
ORD000056,OI000056,1664.37,Dairy,Completed
ORD000057,OI000057,2491.12,Household,Completed
ORD000058,OI000058,1211.64,Household,Completed
ORD000059,OI000059,993.13,Snacks,Completed
ORD000060,OI000060,1688.49,Personal Care,Completed
ORD000061,OI000061,1716.71,Groceries,Completed
ORD000062,OI000062,1534.17,Baby Care,Completed
ORD000063,OI000063,1510.02,Dairy,Completed
ORD000064,OI000064,332.38,Dairy,Completed
ORD000065,OI000065,2493.76,Frozen Foods,Completed
ORD000066,OI000066,1629.35,Bakery,Cancelled
ORD000067,OI000067,664.57,Bakery,Cancelled
ORD000068,OI000068,2286.44,Baby Care,Rejected
ORD000069,OI000069,503.7,Snacks,Completed
ORD000070,OI000070,919.05,Dairy,Completed
ORD000071,OI000071,1381.69,Fruits & Vegetables,Cancelled
ORD000072,OI000072,985.25,Fruits & Vegetables,Completed
ORD000073,OI000073,1311.9,Fruits & Vegetables,Rejected
ORD000074,OI000074,1223.62,Snacks,Completed
ORD000075,OI000075,741.91,Beverages,Cancelled
ORD000076,OI000076,1794.31,Groceries,Completed
ORD000077,OI000077,357.03,Personal Care,Cancelled
ORD000078,OI000078,498.97,Household,Completed
ORD000079,OI000079,2066.61,Beverages,Completed
ORD000080,OI000080,1903.41,Household,Completed
ORD000081,OI000081,770.18,Baby Care,Cancelled
ORD000082,OI000082,2153.65,Beverages,Completed
ORD000083,OI000083,1876.44,Snacks,Rejected
ORD000084,OI000084,2297.27,Dairy,Completed
ORD000085,OI000085,780.49,Groceries,Completed
ORD000086,OI000086,503.22,Fruits & Vegetables,Completed
ORD000087,OI000087,657.88,Groceries,Completed
ORD000088,OI000088,2071.79,Dairy,Completed
ORD000089,OI000089,2146.36,Snacks,Completed
ORD000090,OI000090,324.38,Frozen Foods,Completed
ORD000091,OI000091,1534.07,Groceries,Completed
ORD000092,OI000092,2413.71,Personal Care,Completed
ORD000093,OI000093,1818.44,Groceries,Completed
ORD000094,OI000094,240.24,Beverages,Completed
ORD000095,OI000095,1541.51,Frozen Foods,Completed
ORD000096,OI000096,2438.73,Dairy,Completed
ORD000097,OI000097,2320.49,Groceries,Cancelled
ORD000098,OI000098,1570.16,Baby Care,Completed
ORD000099,OI000099,2237.44,Snacks,Cancelled
ORD000100,OI000100,586.24,Fruits & Vegetables,Completed
ORD000101,OI000101,2337.11,Personal Care,Completed
ORD000102,OI000102,828.94,Groceries,Completed
ORD000103,OI000103,2337.46,Baby Care,Completed
ORD000104,OI000104,1139.53,Household,Rejected
ORD000105,OI000105,877.16,Fruits & Vegetables,Completed
ORD000106,OI000106,1640.89,Dairy,Rejected
ORD000107,OI000107,1631.65,Groceries,Completed
ORD000108,OI000108,1691.09,Fruits & Vegetables,Completed
ORD000109,OI000109,1532.36,,Cancelled
ORD000110,OI000110,1225.44,Frozen Foods,Cancelled
ORD000111,OI000111,2303.73,Baby Care,Rejected
ORD000112,OI000112,1755.11,Bakery,Completed
ORD000113,OI000113,1120.7,Bakery,Cancelled
ORD000114,OI000114,1792.69,Bakery,Completed
ORD000115,OI000115,2372.37,Baby Care,Completed
ORD000116,OI000116,234.57,Snacks,Cancelled
ORD000117,OI000117,1057.91,Dairy,Completed
ORD000118,OI000118,471.71,Beverages,Cancelled
ORD000119,OI000119,2342.89,Household,Completed
ORD000120,OI000120,1770.25,Personal Care,Rejected
ORD000121,OI000121,1772.54,Bakery,Completed
ORD000122,OI000122,1496.75,Personal Care,Completed
ORD000123,OI000123,265.42,Dairy,Completed
ORD000124,OI000124,2372.3,Frozen Foods,Completed
ORD000125,OI000125,2228.83,Bakery,Completed
ORD000126,OI000126,2141.66,Beverages,Completed
ORD000127,OI000127,695.23,Groceries,Rejected
ORD000128,OI000128,913.91,Personal Care,Cancelled
ORD000129,OI000129,1219.26,Snacks,Completed
ORD000130,OI000130,2466.71,Beverages,Completed
ORD000131,OI000131,547.37,Beverages,Completed
ORD000132,OI000132,1261.79,Groceries,Completed
ORD000133,OI000133,1970.56,Dairy,Completed
ORD000134,OI000134,1988.56,Frozen Foods,Cancelled
ORD000135,OI000135,1484.09,Baby Care,Completed
ORD000136,OI000136,1280.86,Personal Care,Completed
ORD000137,OI000137,1725.38,Household,Completed
ORD000138,OI000138,808.01,Fruits & Vegetables,Rejected
ORD000139,OI000139,537.0,Baby Care,Completed
ORD000140,OI000140,785.55,Personal Care,Rejected
ORD000141,OI000141,1732.32,Dairy,Cancelled
ORD000142,OI000142,810.94,Household,Completed
ORD000143,OI000143,656.62,Bakery,Completed
ORD000144,OI000144,492.0,Beverages,Completed
ORD000145,OI000145,2104.24,Baby Care,Completed
ORD000146,OI000146,549.16,Fruits & Vegetables,Completed
ORD000147,OI000147,1538.77,Personal Care,Completed
ORD000148,OI000148,2084.63,Fruits & Vegetables,Completed
ORD000149,OI000149,1658.1,Fruits & Vegetables,Completed
ORD000150,OI000150,1631.93,Personal Care,Completed
ORD000151,OI000151,2078.24,Beverages,Completed
ORD000152,OI000152,499.39,Beverages,Completed
